"Location","Place","Duration","Start_time_mins","Day"
"Cupboard","Kitchen",0.1,879.25,"Mon"
"Door","Kitchen",0.05,888.733,"Mon"
"Door","Living",0.05,888.9,"Mon"
"Door","Living",0.05,889.25,"Mon"
"Door","Kitchen",0.05,889.5,"Mon"
"Cupboard","Kitchen",0.117,891.55,"Mon"
"Door","Kitchen",0.033,893.2,"Mon"
"Door","Living",0.033,894.75,"Mon"
"Door","Living",0.05,922.783,"Mon"
"Door","Kitchen",0.033,923,"Mon"
"Cupboard","Kitchen",0.2,923.633,"Mon"
"Door","Kitchen",0.067,931.817,"Mon"
"Toilet","Bathroom",0.967,938.833,"Mon"
"Basin","Bathroom",1.567,939.083,"Mon"
"Door","Living",0.05,942.917,"Mon"
"Seat","Living",27.333,943.25,"Mon"
"Door","Living",0.1,971.467,"Mon"
"Maindoor","Entrance",0.117,982.367,"Mon"
"Maindoor","Entrance",0.05,1028.567,"Mon"
"Door","Living",0.05,1030.183,"Mon"
"Door","Living",0.067,1049.283,"Mon"
"Door","Kitchen",0.05,1049.5,"Mon"
"Door","Kitchen",0.033,1049.833,"Mon"
"Door","Living",0.133,1050.133,"Mon"
"Door","Living",0.067,1055.633,"Mon"
"Toilet","Bathroom",0.967,1063.55,"Mon"
"Basin","Bathroom",0.2,1063.917,"Mon"
"Door","Living",0.05,1064.617,"Mon"
"Seat","Living",61.6,1065.367,"Mon"
"Door","Living",0.05,1127.483,"Mon"
"Door","Kitchen",0.067,1127.75,"Mon"
"Fridge","Kitchen",0.267,1132.283,"Mon"
"Microwave","Kitchen",1.017,1132.7,"Mon"
"Door","Kitchen",0.05,1136.2,"Mon"
"Door","Bedroom",0.083,1140.85,"Mon"
"Door","Bedroom",0.05,1142.117,"Mon"
"Door","Living",0.067,1142.25,"Mon"
"Seat","Living",113.65,1143.117,"Mon"
"Door","Living",0.033,1257.083,"Mon"
"Door","Bedroom",0.2,1257.183,"Mon"
"Door","Bedroom",0.05,1259.65,"Mon"
"Door","Living",0.05,1266.533,"Mon"
"Door","Living",0.317,1271.65,"Mon"
"Basin","Bathroom",0.117,1274.933,"Mon"
"Door","Living",0.067,1275.217,"Mon"
"Door","Living",0.05,1354.4,"Mon"
"Door","Bedroom",0.05,1354.45,"Mon"
"Door","Bedroom",0.033,1354.767,"Mon"
"Door","Kitchen",0.067,1355.35,"Mon"
"Cupboard","Kitchen",0.583,1356.383,"Mon"
"Door","Kitchen",0.05,1357.867,"Mon"
"Basin","Bathroom",0.133,1373.767,"Mon"
"Door","Living",0.067,1374.167,"Mon"
"Seat","Living",38.717,1375.033,"Mon"
"Door","Living",0.05,1414.45,"Mon"
"Door","Bedroom",0.05,1414.667,"Mon"
"Door","Bedroom",0.033,1416.75,"Mon"
"Toilet","Bathroom",1.133,1416.85,"Mon"
"Door","Living",0.067,1418.25,"Mon"
"Door","Living",0.05,1425.083,"Mon"
"Door","Kitchen",0.05,1425.133,"Mon"
"Door","Kitchen",0.033,1425.883,"Mon"
"Door","Living",0.05,1426.383,"Mon"
"Seat","Living",99.233,1427.033,"Mon"
"Door","Living",0.6,87.083,"Tue"
"Basin","Bathroom",0.55,89.1,"Tue"
"Door","Bedroom",0.067,89.867,"Tue"
"Bed","Bedroom",440.717,90.533,"Tue"
"Door","Bedroom",0.05,532.05,"Tue"
"Door","Living",0.033,533.8,"Tue"
"Door","Living",0.05,536.617,"Tue"
"Door","Kitchen",0.083,536.867,"Tue"
"Fridge","Kitchen",0.067,537.817,"Tue"
"Microwave","Kitchen",1.683,538.75,"Tue"
"Fridge","Kitchen",0.05,539.2,"Tue"
"Door","Kitchen",0.033,544.9,"Tue"
"Door","Bedroom",0.067,545.433,"Tue"
"Door","Bedroom",0.033,550.167,"Tue"
"Basin","Bathroom",0.05,551.767,"Tue"
"Toilet","Bathroom",1.083,554.8,"Tue"
"Basin","Bathroom",3.033,561.4,"Tue"
"Basin","Bathroom",0.817,569.617,"Tue"
"Basin","Bathroom",1.917,574.917,"Tue"
"Door","Bedroom",0.067,577.4,"Tue"
"Door","Bedroom",0.05,582.85,"Tue"
"Maindoor","Entrance",0.1,593.25,"Tue"
"Maindoor","Entrance",0.05,611.067,"Tue"
"Door","Kitchen",0.05,611.8,"Tue"
"Fridge","Kitchen",0.05,611.983,"Tue"
"Door","Kitchen",0.033,612.167,"Tue"
"Door","Kitchen",0.05,614.067,"Tue"
"Door","Kitchen",0.067,649.567,"Tue"
"Door","Bedroom",0.05,650.083,"Tue"
"Door","Bedroom",0.05,651.867,"Tue"
"Maindoor","Entrance",0.05,652.75,"Tue"
"Maindoor","Entrance",0.067,821.833,"Tue"
"Door","Kitchen",0.067,822.1,"Tue"
"Door","Kitchen",0.05,822.75,"Tue"
"Door","Bedroom",0.017,823.333,"Tue"
"Door","Bedroom",0.033,825.933,"Tue"
"Door","Kitchen",0.05,827.75,"Tue"
"Fridge","Kitchen",0.083,828.45,"Tue"
"Fridge","Kitchen",0.05,828.65,"Tue"
"Door","Kitchen",0.033,839.667,"Tue"
"Door","Kitchen",0.167,841.017,"Tue"
"Door","Kitchen",0.033,843.483,"Tue"
"Toilet","Bathroom",0.75,845.4,"Tue"
"Door","Kitchen",0.067,848.4,"Tue"
"Door","Kitchen",0.067,857.417,"Tue"
"Door","Kitchen",0.05,860.883,"Tue"
"Cupboard","Kitchen",0.033,867.567,"Tue"
"Fridge","Kitchen",0.067,868.333,"Tue"
"Cupboard","Kitchen",0.05,873.7,"Tue"
"Door","Kitchen",0.05,879.183,"Tue"
"Door","Living",0.05,880.483,"Tue"
"Door","Living",0.033,881.467,"Tue"
"Door","Kitchen",0.05,881.633,"Tue"
"Door","Kitchen",0.05,882.55,"Tue"
"Door","Living",0.033,883.117,"Tue"
"Seat","Living",66.483,884.017,"Tue"
"Door","Living",0.05,951.483,"Tue"
"Door","Kitchen",0.05,951.667,"Tue"
"Door","Kitchen",0.033,964.417,"Tue"
"Door","Living",0.05,964.7,"Tue"
"Door","Living",0.033,965.017,"Tue"
"Toilet","Bathroom",0.9,967.133,"Tue"
"Door","Living",0.05,967.45,"Tue"
"Door","Living",0.05,993.333,"Tue"
"Door","Bedroom",0.05,994.35,"Tue"
"Door","Bedroom",0.05,994.767,"Tue"
"Door","Living",0.067,995.05,"Tue"
"Seat","Living",54.033,996.2,"Tue"
"Door","Living",0.05,1051.45,"Tue"
"Door","Bedroom",0.05,1053.733,"Tue"
"Door","Bedroom",0.067,1054.383,"Tue"
"Door","Kitchen",0.05,1054.8,"Tue"
"Door","Kitchen",0.033,1056.533,"Tue"
"Door","Living",0.067,1057.517,"Tue"
"Seat","Living",16.717,1058.45,"Tue"
"Door","Living",0.05,1076.5,"Tue"
"Door","Living",0.05,1077.017,"Tue"
"Seat","Living",22.35,1078.783,"Tue"
"Door","Living",0.05,1102.583,"Tue"
"Door","Living",0.067,1104.667,"Tue"
"Seat","Living",22.033,1105.45,"Tue"
"Door","Living",0.033,1128.633,"Tue"
"Door","Kitchen",0.033,1131.85,"Tue"
"Door","Kitchen",0.183,1153.133,"Tue"
"Door","Kitchen",0.05,1153.467,"Tue"
"Door","Kitchen",0.067,1183.567,"Tue"
"Door","Living",0.417,1184.267,"Tue"
"Door","Living",0.033,1185.017,"Tue"
"Toilet","Bathroom",0.95,1186.5,"Tue"
"Door","Bedroom",0.033,1189.1,"Tue"
"Door","Bedroom",0.05,1190.167,"Tue"
"Door","Living",0.017,1192.033,"Tue"
"Seat","Living",184.517,1193.217,"Tue"
"Door","Living",0.067,1378.4,"Tue"
"Door","Bedroom",0.067,1378.5,"Tue"
"Door","Bedroom",0.033,1379.7,"Tue"
"Door","Living",0.067,1380.067,"Tue"
"Door","Living",0.05,1397.117,"Tue"
"Door","Kitchen",0.083,1397.333,"Tue"
"Microwave","Kitchen",3.767,1397.933,"Tue"
"Door","Kitchen",0.033,1402.133,"Tue"
"Door","Living",0.133,1402.35,"Tue"
"Door","Living",0.083,1414.483,"Tue"
"Door","Bedroom",0.183,1414.7,"Tue"
"Door","Bedroom",0.033,1417.517,"Tue"
"Basin","Bathroom",0.517,1419.533,"Tue"
"Door","Living",0.1,1420.867,"Tue"
"Door","Living",0.05,1424.167,"Tue"
"Door","Kitchen",0.05,1424.45,"Tue"
"Door","Kitchen",0.033,1424.833,"Tue"
"Door","Living",0.067,1425.083,"Tue"
"Seat","Living",34.567,1426.017,"Tue"
"Door","Living",0.05,21.117,"Wed"
"Basin","Bathroom",1.15,27.333,"Wed"
"Toilet","Bathroom",0.8,28.733,"Wed"
"Door","Bedroom",0.083,28.9,"Wed"
"Bed","Bedroom",281.567,29.683,"Wed"
"Door","Bedroom",0.05,312.433,"Wed"
"Basin","Bathroom",0.55,315.317,"Wed"
"Door","Bedroom",0.067,315.917,"Wed"
"Bed","Bedroom",223.383,316.85,"Wed"
"Door","Bedroom",0.083,541.367,"Wed"
"Toilet","Bathroom",1,544.717,"Wed"
"Door","Bedroom",0.067,544.9,"Wed"
"Door","Bedroom",0.033,546.133,"Wed"
"Door","Kitchen",0.067,546.433,"Wed"
"Fridge","Kitchen",0.3,547.283,"Wed"
"Microwave","Kitchen",1.483,547.783,"Wed"
"Microwave","Kitchen",0.25,549.433,"Wed"
"Door","Kitchen",0.05,557.8,"Wed"
"Door","Living",0.067,560.083,"Wed"
"Door","Living",0.05,561.667,"Wed"
"Door","Bedroom",0.083,562.183,"Wed"
"Door","Bedroom",0.083,562.35,"Wed"
"Door","Living",0.05,562.567,"Wed"
"Seat","Living",73.633,563.167,"Wed"
"Door","Living",0.05,637.433,"Wed"
"Door","Kitchen",0.05,638.267,"Wed"
"Fridge","Kitchen",0.1,639.833,"Wed"
"Door","Kitchen",0.233,646.717,"Wed"
"Door","Kitchen",0.033,654.367,"Wed"
"Cupboard","Kitchen",0.033,659.233,"Wed"
"Door","Kitchen",0.05,661.2,"Wed"
"Door","Bedroom",0.067,662.517,"Wed"
"Door","Bedroom",0.033,666.35,"Wed"
"Door","Living",0.05,667.45,"Wed"
"Seat","Living",7.2,668.433,"Wed"
"Door","Living",0.083,676.75,"Wed"
"Door","Living",0.05,678.817,"Wed"
"Seat","Living",14.7,679.6,"Wed"
"Door","Living",0.05,695.717,"Wed"
"Door","Kitchen",0.383,696.083,"Wed"
"Door","Kitchen",0.05,705.117,"Wed"
"Basin","Bathroom",4.633,707.65,"Wed"
"Shower","Bathroom",2.867,716.05,"Wed"
"Basin","Bathroom",2.433,720.267,"Wed"
"Basin","Bathroom",1.05,727.833,"Wed"
"Door","Bedroom",0.067,730.7,"Wed"
"Door","Bedroom",0.067,740.5,"Wed"
"Basin","Bathroom",1.4,741.517,"Wed"
"Door","Living",0.25,749,"Wed"
"Door","Living",0.033,762.117,"Wed"
"Door","Bedroom",0.067,762.183,"Wed"
"Door","Bedroom",0.233,763.033,"Wed"
"Door","Living",0.05,765.05,"Wed"
"Seat","Living",4.583,766.9,"Wed"
"Door","Living",0.083,772.15,"Wed"
"Maindoor","Entrance",0.083,772.317,"Wed"
"Maindoor","Entrance",0.133,774.45,"Wed"
"Door","Living",0.05,774.117,"Wed"
"Door","Living",0.05,774.5,"Wed"
"Door","Kitchen",0.067,774.683,"Wed"
"Door","Kitchen",0.05,775.4,"Wed"
"Door","Living",0.067,775.633,"Wed"
"Door","Living",0.05,775.9,"Wed"
"Maindoor","Entrance",0.117,777.833,"Wed"
"Maindoor","Entrance",0.1,862.517,"Wed"
"Toilet","Bathroom",0.833,863.183,"Wed"
"Basin","Bathroom",0.85,863.367,"Wed"
"Door","Living",0.233,864.233,"Wed"
"Door","Living",0.1,866.817,"Wed"
"Door","Bedroom",0.067,867.217,"Wed"
"Door","Bedroom",0.067,868.35,"Wed"
"Maindoor","Entrance",0.117,869.65,"Wed"
"Maindoor","Entrance",0.1,949.633,"Wed"
"Door","Living",0.05,950.117,"Wed"
"Door","Living",0.05,954.883,"Wed"
"Door","Living",0.067,958.75,"Wed"
"Seat","Living",228.733,959.183,"Wed"
"Door","Living",0.1,1188.883,"Wed"
"Door","Living",0.067,1193.783,"Wed"
"Door","Living",0.05,1194.917,"Wed"
"Door","Bedroom",0.067,1195.817,"Wed"
"Door","Bedroom",0.033,1196.283,"Wed"
"Door","Living",0.05,1200.717,"Wed"
"Door","Living",0.05,1202.15,"Wed"
"Door","Kitchen",0.05,1202.35,"Wed"
"Door","Kitchen",0.067,1210.033,"Wed"
"Door","Living",0.05,1211.633,"Wed"
"Seat","Living",51.85,1212.967,"Wed"
"Door","Living",0.033,1265.1,"Wed"
"Door","Living",0.05,1266.433,"Wed"
"Door","Living",0.067,1297.15,"Wed"
"Door","Kitchen",0.083,1297.35,"Wed"
"Microwave","Kitchen",2,1300.367,"Wed"
"Cupboard","Kitchen",0.1,1302.383,"Wed"
"Door","Kitchen",0.033,1302.667,"Wed"
"Door","Living",0.05,1302.867,"Wed"
"Door","Living",0.05,1304.1,"Wed"
"Door","Kitchen",0.033,1304.317,"Wed"
"Microwave","Kitchen",0.183,1304.4,"Wed"
"Fridge","Kitchen",0.1,1305.517,"Wed"
"Fridge","Kitchen",0.05,1305.817,"Wed"
"Door","Kitchen",0.05,1307.083,"Wed"
"Door","Living",0.05,1307.25,"Wed"
"Seat","Living",25.367,1308.383,"Wed"
"Door","Living",0.05,1334.383,"Wed"
"Door","Kitchen",0.067,1334.617,"Wed"
"Fridge","Kitchen",0.3,1335.783,"Wed"
"Door","Kitchen",0.033,1337.75,"Wed"
"Door","Living",0.067,1338.583,"Wed"
"Seat","Living",45.85,1339.4,"Wed"
"Door","Living",0.033,1386.233,"Wed"
"Door","Bedroom",0.05,1387.55,"Wed"
"Door","Bedroom",0.1,1391.517,"Wed"
"Door","Kitchen",0.05,1392,"Wed"
"Door","Kitchen",0.05,1392.183,"Wed"
"Door","Living",0.067,1392.55,"Wed"
"Seat","Living",52.067,1393.283,"Wed"
"Door","Living",0.1,6.65,"Thu"
"Basin","Bathroom",0.133,7.333,"Thu"
"Toilet","Bathroom",0.8,9.283,"Thu"
"Basin","Bathroom",0.467,9.7,"Thu"
"Door","Bedroom",0.083,10.4,"Thu"
"Bed","Bedroom",28.067,10.933,"Thu"
"Door","Bedroom",0.067,39.933,"Thu"
"Door","Bedroom",0.1,40.133,"Thu"
"Bed","Bedroom",2.033,40.833,"Thu"
"Door","Bedroom",0.05,43.267,"Thu"
"Door","Living",0.15,43.667,"Thu"
"Seat","Living",70.183,44.033,"Thu"
"Door","Living",0.117,114.517,"Thu"
"Door","Bedroom",0.033,115.45,"Thu"
"Bed","Bedroom",349.05,115.733,"Thu"
"Door","Bedroom",0.05,466.117,"Thu"
"Toilet","Bathroom",0.683,472.183,"Thu"
"Door","Bedroom",0.05,473.433,"Thu"
"Bed","Bedroom",99.6,473.767,"Thu"
"Door","Bedroom",0.083,574.517,"Thu"
"Door","Living",0.05,576.333,"Thu"
"Door","Living",0.05,577.25,"Thu"
"Door","Kitchen",0.067,577.55,"Thu"
"Fridge","Kitchen",0.3,582.05,"Thu"
"Microwave","Kitchen",1.6,582.5,"Thu"
"Door","Kitchen",0.067,587.2,"Thu"
"Door","Living",0.05,587.717,"Thu"
"Door","Living",0.05,588.083,"Thu"
"Toilet","Bathroom",1.25,591.917,"Thu"
"Basin","Bathroom",0.083,592.867,"Thu"
"Door","Bedroom",0.05,593.3,"Thu"
"Door","Bedroom",0.05,593.717,"Thu"
"Basin","Bathroom",3.083,593.8,"Thu"
"Shower","Bathroom",6.583,598.3,"Thu"
"Basin","Bathroom",1.967,605.45,"Thu"
"Door","Bedroom",0.067,608.267,"Thu"
"Door","Bedroom",0.017,610.833,"Thu"
"Door","Kitchen",0.1,611.133,"Thu"
"Door","Kitchen",0.033,616.367,"Thu"
"Door","Bedroom",0.067,617.067,"Thu"
"Door","Bedroom",0.067,620.683,"Thu"
"Door","Living",0.067,623.75,"Thu"
"Seat","Living",53.15,626.683,"Thu"
"Door","Living",0.05,682.283,"Thu"
"Door","Bedroom",0.067,689.883,"Thu"
"Door","Bedroom",0.333,698.9,"Thu"
"Maindoor","Entrance",0.383,702.55,"Thu"
"Maindoor","Entrance",0.133,782.5,"Thu"
"Door","Kitchen",0.033,782.9,"Thu"
"Door","Kitchen",0.05,783.067,"Thu"
"Door","Living",0.033,783.267,"Thu"
"Door","Living",0.05,786.133,"Thu"
"Door","Kitchen",0.05,786.367,"Thu"
"Door","Kitchen",0.033,787.05,"Thu"
"Door","Living",0.05,787.167,"Thu"
"Seat","Living",70.567,789.933,"Thu"
"Door","Living",0.05,862.7,"Thu"
"Door","Kitchen",0.083,862.917,"Thu"
"Door","Kitchen",0.05,874.033,"Thu"
"Door","Living",0.05,874.283,"Thu"
"Door","Living",0.067,881.45,"Thu"
"Door","Kitchen",0.033,881.717,"Thu"
"Cupboard","Kitchen",0.05,889.217,"Thu"
"Door","Kitchen",0.067,889.683,"Thu"
"Door","Living",0.05,889.9,"Thu"
"Door","Living",0.083,904.083,"Thu"
"Door","Kitchen",0.033,904.3,"Thu"
"Fridge","Kitchen",0.05,924.15,"Thu"
"Door","Kitchen",0.05,934.333,"Thu"
"Door","Living",0.05,935.8,"Thu"
"Door","Living",0.033,941.15,"Thu"
"Door","Kitchen",0.05,942.183,"Thu"
"Fridge","Kitchen",0.083,942.717,"Thu"
"Door","Kitchen",0.05,943.317,"Thu"
"Door","Living",0.033,943.4,"Thu"
"Door","Living",0.067,945.467,"Thu"
"Toilet","Bathroom",1.217,948.517,"Thu"
"Basin","Bathroom",1.017,948.883,"Thu"
"Door","Living",0.067,950.35,"Thu"
"Door","Living",0.067,954.083,"Thu"
"Maindoor","Entrance",0.183,954.35,"Thu"
"Maindoor","Entrance",0.117,1210.833,"Thu"
"Door","Living",0.033,1211.433,"Thu"
"Door","Living",0.05,1216.017,"Thu"
"Door","Kitchen",0.033,1216.267,"Thu"
"Door","Kitchen",0.067,1217.2,"Thu"
"Door","Living",0.067,1217.5,"Thu"
"Door","Living",0.033,1326.95,"Thu"
"Door","Kitchen",0.05,1327.433,"Thu"
"Door","Kitchen",0.033,1342.45,"Thu"
"Door","Living",0.05,1342.683,"Thu"
"Door","Living",0.033,1346.033,"Thu"
"Door","Kitchen",0.033,1346.233,"Thu"
"Microwave","Kitchen",4.017,1346.65,"Thu"
"Cupboard","Kitchen",0.167,1348.117,"Thu"
"Door","Kitchen",0.067,1350.733,"Thu"
"Door","Living",0.05,1350.95,"Thu"
"Door","Living",0.067,48.517,"Fri"
"Door","Kitchen",0.05,48.767,"Fri"
"Door","Kitchen",0.05,50.517,"Fri"
"Door","Living",0.083,50.833,"Fri"
"Door","Living",0.05,51.183,"Fri"
"Basin","Bathroom",2.883,51.65,"Fri"
"Toilet","Bathroom",0.717,54.567,"Fri"
"Basin","Bathroom",0.117,55.083,"Fri"
"Door","Living",0.033,55.383,"Fri"
"Door","Living",0.05,57.933,"Fri"
"Door","Bedroom",0.033,58.05,"Fri"
"Bed","Bedroom",577.35,59.083,"Fri"
"Door","Bedroom",0.05,637.917,"Fri"
"Door","Living",0.05,638,"Fri"
"Door","Living",0.05,638.833,"Fri"
"Door","Kitchen",0.067,639.233,"Fri"
"Fridge","Kitchen",0.033,640.15,"Fri"
"Microwave","Kitchen",0.9,641.317,"Fri"
"Door","Kitchen",0.033,652.933,"Fri"
"Shower","Bathroom",3.167,663.767,"Fri"
"Basin","Bathroom",3.217,669.4,"Fri"
"Basin","Bathroom",1.85,675.917,"Fri"
"Door","Bedroom",0.067,682.483,"Fri"
"Door","Bedroom",0.1,699.167,"Fri"
"Basin","Bathroom",7.7,700.183,"Fri"
"Door","Living",0.05,708.317,"Fri"
"Door","Living",0.033,729.167,"Fri"
"Door","Kitchen",0.017,729.533,"Fri"
"Fridge","Kitchen",0.1,729.6,"Fri"
"Door","Kitchen",0.033,729.917,"Fri"
"Maindoor","Entrance",0.1,730.1,"Fri"
"Maindoor","Entrance",0.1,773.717,"Fri"
"Door","Bedroom",0.067,775.717,"Fri"
"Door","Bedroom",0.033,776.3,"Fri"
"Door","Living",0.05,776.467,"Fri"
"Seat","Living",53.967,777.883,"Fri"
"Door","Living",0.067,832.133,"Fri"
"Door","Kitchen",0.067,832.583,"Fri"
"Door","Kitchen",0.067,851.85,"Fri"
"Door","Living",0.083,852.067,"Fri"
"Door","Living",0.083,859,"Fri"
"Door","Kitchen",0.05,859.217,"Fri"
"Cupboard","Kitchen",0.117,860.667,"Fri"
"Door","Kitchen",0.067,861.917,"Fri"
"Door","Living",0.05,862.133,"Fri"
"Door","Living",0.05,866.133,"Fri"
"Door","Kitchen",0.05,866.317,"Fri"
"Door","Kitchen",0.05,868.633,"Fri"
"Door","Living",0.067,868.817,"Fri"
"Door","Living",0.05,888.05,"Fri"
"Door","Kitchen",0.05,888.267,"Fri"
"Door","Kitchen",0.033,889.633,"Fri"
"Door","Living",0.05,889.833,"Fri"
"Door","Living",0.05,894.317,"Fri"
"Door","Kitchen",0.433,894.517,"Fri"
"Door","Kitchen",0.033,895.883,"Fri"
"Toilet","Bathroom",1.467,905.467,"Fri"
"Door","Bedroom",0.233,907.1,"Fri"
"Door","Bedroom",0.233,909.1,"Fri"
"Door","Living",0.067,910.35,"Fri"
"Door","Living",0.033,916.383,"Fri"
"Maindoor","Entrance",0.117,917.583,"Fri"
"Maindoor","Entrance",0.083,1083.967,"Fri"
"Door","Living",0.067,1084.317,"Fri"
"Door","Living",0.05,1084.633,"Fri"
"Toilet","Bathroom",0.95,1089.15,"Fri"
"Door","Living",0.05,1090.9,"Fri"
"Door","Living",0.05,1091.6,"Fri"
"Door","Kitchen",0.083,1091.833,"Fri"
"Microwave","Kitchen",1.667,1094.533,"Fri"
"Fridge","Kitchen",0.183,1094.633,"Fri"
"Door","Kitchen",0.05,1096.417,"Fri"
"Door","Living",0.05,1096.933,"Fri"
"Seat","Living",118.8,1098.183,"Fri"
"Door","Living",0.05,1217.25,"Fri"
"Door","Kitchen",0.133,1217.5,"Fri"
"Door","Kitchen",0.033,1217.917,"Fri"
"Door","Living",0.067,1219.217,"Fri"
"Seat","Living",8.6,1225.4,"Fri"
"Door","Living",0.05,1234.1,"Fri"
"Door","Kitchen",0.067,1234.333,"Fri"
"Door","Kitchen",0.033,1234.617,"Fri"
"Door","Living",0.05,1234.883,"Fri"
"Seat","Living",62.783,1235.033,"Fri"
"Door","Living",0.083,1298.25,"Fri"
"Door","Living",0.05,1322.617,"Fri"
"Door","Living",0.033,1323.617,"Fri"
"Basin","Bathroom",0.433,1330.25,"Fri"
"Door","Living",0.05,1331.8,"Fri"
"Door","Living",0.033,1338.033,"Fri"
"Maindoor","Entrance",0.183,1338.683,"Fri"
"Maindoor","Entrance",0.1,139.833,"Sat"
"Door","Bedroom",0.15,140.783,"Sat"
"Door","Bedroom",0.033,142.167,"Sat"
"Door","Living",0.05,142.733,"Sat"
"Door","Living",0.033,144.6,"Sat"
"Basin","Bathroom",3.117,146.583,"Sat"
"Toilet","Bathroom",0.917,151.083,"Sat"
"Basin","Bathroom",2.433,151.417,"Sat"
"Door","Bedroom",0.067,154.517,"Sat"
"Bed","Bedroom",429.35,156.1,"Sat"
"Door","Bedroom",0.083,586.517,"Sat"
"Toilet","Bathroom",1.083,592.283,"Sat"
"Door","Living",0.05,595.917,"Sat"
"Door","Living",0.05,597.417,"Sat"
"Door","Kitchen",0.067,597.633,"Sat"
"Fridge","Kitchen",0.1,598.683,"Sat"
"Fridge","Kitchen",0.05,599.033,"Sat"
