Start,Time_Start,End,Time_End,Location,Type,Place
11/12/2012,10:35:14,11/12/2012,10:40:01,Basin,PIR,Bathroom
11/12/2012,10:40:29,11/12/2012,10:40:31,Door,PIR,Kitchen
11/12/2012,10:41:08,11/12/2012,10:41:10,Door,PIR,Kitchen
11/12/2012,10:41:20,11/12/2012,10:41:22,Door,PIR,Living
11/12/2012,10:41:42,11/12/2012,10:41:44,Door,PIR,Living
11/12/2012,10:42:05,11/12/2012,10:42:07,Basin,PIR,Bathroom
11/12/2012,10:47:17,11/12/2012,10:47:24,Door,PIR,Living
11/12/2012,11:04:53,11/12/2012,11:04:56,Door,PIR,Living
11/12/2012,11:05:44,11/12/2012,11:05:47,Door,PIR,Kitchen
11/12/2012,11:06:11,11/12/2012,11:06:34,Fridge,Magnetic,Kitchen
11/12/2012,11:09:44,11/12/2012,11:10:42,Microwave,Electric,Kitchen
11/12/2012,11:20:40,11/12/2012,11:20:45,Door,PIR,Kitchen
11/12/2012,11:21:26,11/12/2012,11:21:30,Door,PIR,Living
11/12/2012,11:23:34,11/12/2012,11:23:37,Door,PIR,Living
11/12/2012,11:24:12,11/12/2012,11:24:17,Door,PIR,Bedroom
11/12/2012,11:32:27,11/12/2012,11:32:29,Door,PIR,Bedroom
11/12/2012,11:32:39,11/12/2012,11:32:41,Door,PIR,Kitchen
11/12/2012,11:33:15,11/12/2012,11:33:17,Door,PIR,Kitchen
11/12/2012,11:34:08,11/12/2012,11:34:10,Door,PIR,Bedroom
11/12/2012,11:34:45,11/12/2012,11:34:52,Door,PIR,Bedroom
11/12/2012,11:37:49,11/12/2012,11:37:52,Door,PIR,Kitchen
11/12/2012,11:38:27,11/12/2012,11:40:06,Fridge,Magnetic,Kitchen
11/12/2012,11:43:52,11/12/2012,11:43:55,Fridge,Magnetic,Kitchen
11/12/2012,11:47:09,11/12/2012,11:47:23,Door,PIR,Kitchen
11/12/2012,11:47:38,11/12/2012,11:47:48,Door,PIR,Living
11/12/2012,12:01:50,11/12/2012,12:01:52,Door,PIR,Living
11/12/2012,12:02:07,11/12/2012,12:02:09,Door,PIR,Bedroom
11/12/2012,12:22:23,11/12/2012,12:22:30,Door,PIR,Bedroom
11/12/2012,12:23:33,11/12/2012,12:23:48,Door,PIR,Kitchen
11/12/2012,12:37:00,11/12/2012,12:37:03,Door,PIR,Kitchen
11/12/2012,12:39:35,11/12/2012,12:39:42,Door,PIR,Bedroom
11/12/2012,12:41:44,11/12/2012,12:41:46,Door,PIR,Bedroom
11/12/2012,12:41:59,11/12/2012,12:42:39,Toilet,Flush,Bathroom
11/12/2012,12:43:41,11/12/2012,12:43:43,Door,PIR,Bedroom
11/12/2012,12:49:21,11/12/2012,12:49:23,Door,PIR,Bedroom
11/12/2012,12:49:42,11/12/2012,12:49:46,Door,PIR,Living
11/12/2012,12:51:01,11/12/2012,12:51:04,Door,PIR,Living
11/12/2012,12:52:58,11/12/2012,12:55:12,Toilet,Flush,Bathroom
11/12/2012,13:00:02,11/12/2012,13:07:11,Basin,PIR,Bathroom
11/12/2012,13:12:47,11/12/2012,13:18:24,Basin,PIR,Bathroom
11/12/2012,13:19:01,11/12/2012,13:19:52,Door,PIR,Living
11/12/2012,13:32:42,11/12/2012,13:32:46,Door,PIR,Living
11/12/2012,13:33:11,11/12/2012,13:33:15,Door,PIR,Kitchen
11/12/2012,13:44:23,11/12/2012,13:44:27,Door,PIR,Kitchen
11/12/2012,13:47:49,11/12/2012,13:47:51,Door,PIR,Kitchen
11/12/2012,13:52:31,11/12/2012,13:55:39,Fridge,Magnetic,Kitchen
11/12/2012,14:00:02,11/12/2012,14:00:05,Door,PIR,Kitchen
11/12/2012,14:04:47,11/12/2012,14:04:50,Door,PIR,Living
11/12/2012,14:20:16,11/12/2012,14:20:18,Door,PIR,Living
11/12/2012,14:20:28,11/12/2012,14:20:31,Door,PIR,Kitchen
11/12/2012,14:39:01,11/12/2012,14:39:08,Cupboard,Magnetic,Kitchen
11/12/2012,14:39:15,11/12/2012,14:39:21,Cupboard,Magnetic,Kitchen
11/12/2012,14:48:44,11/12/2012,14:48:47,Door,PIR,Kitchen
11/12/2012,14:48:54,11/12/2012,14:48:57,Door,PIR,Living
11/12/2012,14:49:15,11/12/2012,14:49:18,Door,PIR,Living
11/12/2012,14:49:30,11/12/2012,14:49:33,Door,PIR,Kitchen
11/12/2012,14:51:33,11/12/2012,14:51:40,Cupboard,Magnetic,Kitchen
11/12/2012,14:53:12,11/12/2012,14:53:14,Door,PIR,Kitchen
11/12/2012,14:54:45,11/12/2012,14:54:47,Door,PIR,Living
11/12/2012,15:22:47,11/12/2012,15:22:50,Door,PIR,Living
11/12/2012,15:23:00,11/12/2012,15:23:02,Door,PIR,Kitchen
11/12/2012,15:23:38,11/12/2012,15:23:50,Cupboard,Magnetic,Kitchen
11/12/2012,15:31:49,11/12/2012,15:31:53,Door,PIR,Kitchen
11/12/2012,15:38:50,11/12/2012,15:39:48,Toilet,Flush,Bathroom
11/12/2012,15:39:05,11/12/2012,15:40:39,Basin,PIR,Bathroom
11/12/2012,15:42:55,11/12/2012,15:42:58,Door,PIR,Living
11/12/2012,15:43:15,11/12/2012,16:10:35,Seat,Pressure,Living
11/12/2012,16:11:28,11/12/2012,16:11:34,Door,PIR,Living
11/12/2012,16:22:22,11/12/2012,16:22:29,Maindoor,Magnetic,Entrance
11/12/2012,17:08:34,11/12/2012,17:08:37,Maindoor,Magnetic,Entrance
11/12/2012,17:10:11,11/12/2012,17:10:14,Door,PIR,Living
11/12/2012,17:29:17,11/12/2012,17:29:21,Door,PIR,Living
11/12/2012,17:29:30,11/12/2012,17:29:33,Door,PIR,Kitchen
11/12/2012,17:29:50,11/12/2012,17:29:52,Door,PIR,Kitchen
11/12/2012,17:30:08,11/12/2012,17:30:16,Door,PIR,Living
11/12/2012,17:35:38,11/12/2012,17:35:42,Door,PIR,Living
11/12/2012,17:43:33,11/12/2012,17:44:31,Toilet,Flush,Bathroom
11/12/2012,17:43:55,11/12/2012,17:44:07,Basin,PIR,Bathroom
11/12/2012,17:44:37,11/12/2012,17:44:40,Door,PIR,Living
11/12/2012,17:45:22,11/12/2012,18:46:58,Seat,Pressure,Living
11/12/2012,18:47:29,11/12/2012,18:47:32,Door,PIR,Living
11/12/2012,18:47:45,11/12/2012,18:47:49,Door,PIR,Kitchen
11/12/2012,18:52:17,11/12/2012,18:52:33,Fridge,Magnetic,Kitchen
11/12/2012,18:52:42,11/12/2012,18:53:43,Microwave,Electric,Kitchen
11/12/2012,18:56:12,11/12/2012,18:56:15,Door,PIR,Kitchen
11/12/2012,19:00:51,11/12/2012,19:00:56,Door,PIR,Bedroom
11/12/2012,19:02:07,11/12/2012,19:02:10,Door,PIR,Bedroom
11/12/2012,19:02:15,11/12/2012,19:02:19,Door,PIR,Living
11/12/2012,19:03:07,11/12/2012,20:56:46,Seat,Pressure,Living
11/12/2012,20:57:05,11/12/2012,20:57:07,Door,PIR,Living
11/12/2012,20:57:11,11/12/2012,20:57:23,Door,PIR,Bedroom
11/12/2012,20:59:39,11/12/2012,20:59:42,Door,PIR,Bedroom
11/12/2012,21:06:32,11/12/2012,21:06:35,Door,PIR,Living
11/12/2012,21:11:39,11/12/2012,21:11:58,Door,PIR,Living
11/12/2012,21:14:56,11/12/2012,21:15:03,Basin,PIR,Bathroom
11/12/2012,21:15:13,11/12/2012,21:15:17,Door,PIR,Living
11/12/2012,22:34:24,11/12/2012,22:34:27,Door,PIR,Living
11/12/2012,22:34:27,11/12/2012,22:34:30,Door,PIR,Bedroom
11/12/2012,22:34:46,11/12/2012,22:34:48,Door,PIR,Bedroom
11/12/2012,22:35:21,11/12/2012,22:35:25,Door,PIR,Kitchen
11/12/2012,22:36:23,11/12/2012,22:36:58,Cupboard,Magnetic,Kitchen
11/12/2012,22:37:52,11/12/2012,22:37:55,Door,PIR,Kitchen
11/12/2012,22:53:46,11/12/2012,22:53:54,Basin,PIR,Bathroom
11/12/2012,22:54:10,11/12/2012,22:54:14,Door,PIR,Living
11/12/2012,22:55:02,11/12/2012,23:33:45,Seat,Pressure,Living
11/12/2012,23:34:27,11/12/2012,23:34:30,Door,PIR,Living
11/12/2012,23:34:40,11/12/2012,23:34:43,Door,PIR,Bedroom
11/12/2012,23:36:45,11/12/2012,23:36:47,Door,PIR,Bedroom
11/12/2012,23:36:51,11/12/2012,23:37:59,Toilet,Flush,Bathroom
11/12/2012,23:38:15,11/12/2012,23:38:19,Door,PIR,Living
11/12/2012,23:45:05,11/12/2012,23:45:08,Door,PIR,Living
11/12/2012,23:45:08,11/12/2012,23:45:11,Door,PIR,Kitchen
11/12/2012,23:45:53,11/12/2012,23:45:55,Door,PIR,Kitchen
11/12/2012,23:46:23,11/12/2012,23:46:26,Door,PIR,Living
11/12/2012,23:47:02,11/13/2012,1:26:16,Seat,Pressure,Living
11/13/2012,1:27:05,11/13/2012,1:27:41,Door,PIR,Living
11/13/2012,1:29:06,11/13/2012,1:29:39,Basin,PIR,Bathroom
11/13/2012,1:29:52,11/13/2012,1:29:56,Door,PIR,Bedroom
11/13/2012,1:30:32,11/13/2012,8:51:15,Bed,Pressure,Bedroom
11/13/2012,8:52:03,11/13/2012,8:52:06,Door,PIR,Bedroom
11/13/2012,8:53:48,11/13/2012,8:53:50,Door,PIR,Living
11/13/2012,8:56:37,11/13/2012,8:56:40,Door,PIR,Living
11/13/2012,8:56:52,11/13/2012,8:56:57,Door,PIR,Kitchen
11/13/2012,8:57:49,11/13/2012,8:57:53,Fridge,Magnetic,Kitchen
11/13/2012,8:58:45,11/13/2012,9:00:26,Microwave,Electric,Kitchen
11/13/2012,8:59:12,11/13/2012,8:59:15,Fridge,Magnetic,Kitchen
11/13/2012,9:04:54,11/13/2012,9:04:56,Door,PIR,Kitchen
11/13/2012,9:05:26,11/13/2012,9:05:30,Door,PIR,Bedroom
11/13/2012,9:10:10,11/13/2012,9:10:12,Door,PIR,Bedroom
11/13/2012,9:11:46,11/13/2012,9:11:49,Basin,PIR,Bathroom
11/13/2012,9:14:48,11/13/2012,9:15:53,Toilet,Flush,Bathroom
11/13/2012,9:21:24,11/13/2012,9:24:26,Basin,PIR,Bathroom
11/13/2012,9:29:37,11/13/2012,9:30:26,Basin,PIR,Bathroom
11/13/2012,9:34:55,11/13/2012,9:36:50,Basin,PIR,Bathroom
11/13/2012,9:37:24,11/13/2012,9:37:28,Door,PIR,Bedroom
11/13/2012,9:42:51,11/13/2012,9:42:54,Door,PIR,Bedroom
11/13/2012,9:53:15,11/13/2012,9:53:21,Maindoor,Magnetic,Entrance
11/13/2012,10:11:04,11/13/2012,10:11:07,Maindoor,Magnetic,Entrance
11/13/2012,10:11:48,11/13/2012,10:11:51,Door,PIR,Kitchen
11/13/2012,10:11:59,11/13/2012,10:12:02,Fridge,Magnetic,Kitchen
11/13/2012,10:12:10,11/13/2012,10:12:12,Door,PIR,Kitchen
11/13/2012,10:14:04,11/13/2012,10:14:07,Door,PIR,Kitchen
11/13/2012,10:49:34,11/13/2012,10:49:38,Door,PIR,Kitchen
11/13/2012,10:50:05,11/13/2012,10:50:08,Door,PIR,Bedroom
11/13/2012,10:51:52,11/13/2012,10:51:55,Door,PIR,Bedroom
11/13/2012,10:52:45,11/13/2012,10:52:48,Maindoor,Magnetic,Entrance
11/13/2012,13:41:50,11/13/2012,13:41:54,Maindoor,Magnetic,Entrance
11/13/2012,13:42:06,11/13/2012,13:42:10,Door,PIR,Kitchen
11/13/2012,13:42:45,11/13/2012,13:42:48,Door,PIR,Kitchen
11/13/2012,13:43:20,11/13/2012,13:43:21,Door,PIR,Bedroom
11/13/2012,13:45:56,11/13/2012,13:45:58,Door,PIR,Bedroom
11/13/2012,13:47:45,11/13/2012,13:47:48,Door,PIR,Kitchen
11/13/2012,13:48:27,11/13/2012,13:48:32,Fridge,Magnetic,Kitchen
11/13/2012,13:48:39,11/13/2012,13:48:42,Fridge,Magnetic,Kitchen
11/13/2012,13:59:40,11/13/2012,13:59:42,Door,PIR,Kitchen
11/13/2012,14:01:01,11/13/2012,14:01:11,Door,PIR,Kitchen
11/13/2012,14:03:29,11/13/2012,14:03:31,Door,PIR,Kitchen
11/13/2012,14:05:24,11/13/2012,14:06:09,Toilet,Flush,Bathroom
11/13/2012,14:08:24,11/13/2012,14:08:28,Door,PIR,Kitchen
11/13/2012,14:17:25,11/13/2012,14:17:29,Door,PIR,Kitchen
11/13/2012,14:20:53,11/13/2012,14:20:56,Door,PIR,Kitchen
11/13/2012,14:27:34,11/13/2012,14:27:36,Cupboard,Magnetic,Kitchen
11/13/2012,14:28:20,11/13/2012,14:28:24,Fridge,Magnetic,Kitchen
11/13/2012,14:33:42,11/13/2012,14:33:45,Cupboard,Magnetic,Kitchen
11/13/2012,14:39:11,11/13/2012,14:39:14,Door,PIR,Kitchen
11/13/2012,14:40:29,11/13/2012,14:40:32,Door,PIR,Living
11/13/2012,14:41:28,11/13/2012,14:41:30,Door,PIR,Living
11/13/2012,14:41:38,11/13/2012,14:41:41,Door,PIR,Kitchen
11/13/2012,14:42:33,11/13/2012,14:42:36,Door,PIR,Kitchen
11/13/2012,14:43:07,11/13/2012,14:43:09,Door,PIR,Living
11/13/2012,14:44:01,11/13/2012,15:50:30,Seat,Pressure,Living
11/13/2012,15:51:29,11/13/2012,15:51:32,Door,PIR,Living
11/13/2012,15:51:40,11/13/2012,15:51:43,Door,PIR,Kitchen
11/13/2012,16:04:25,11/13/2012,16:04:27,Door,PIR,Kitchen
11/13/2012,16:04:42,11/13/2012,16:04:45,Door,PIR,Living
11/13/2012,16:05:01,11/13/2012,16:05:03,Door,PIR,Living
11/13/2012,16:07:08,11/13/2012,16:08:02,Toilet,Flush,Bathroom
11/13/2012,16:07:27,11/13/2012,16:07:30,Door,PIR,Living
11/13/2012,16:33:20,11/13/2012,16:33:23,Door,PIR,Living
11/13/2012,16:34:21,11/13/2012,16:34:24,Door,PIR,Bedroom
11/13/2012,16:34:46,11/13/2012,16:34:49,Door,PIR,Bedroom
11/13/2012,16:35:03,11/13/2012,16:35:07,Door,PIR,Living
11/13/2012,16:36:12,11/13/2012,17:30:14,Seat,Pressure,Living
11/13/2012,17:31:27,11/13/2012,17:31:30,Door,PIR,Living
11/13/2012,17:33:44,11/13/2012,17:33:47,Door,PIR,Bedroom
11/13/2012,17:34:23,11/13/2012,17:34:27,Door,PIR,Bedroom
11/13/2012,17:34:48,11/13/2012,17:34:51,Door,PIR,Kitchen
11/13/2012,17:36:32,11/13/2012,17:36:34,Door,PIR,Kitchen
11/13/2012,17:37:31,11/13/2012,17:37:35,Door,PIR,Living
11/13/2012,17:38:27,11/13/2012,17:55:10,Seat,Pressure,Living
11/13/2012,17:56:30,11/13/2012,17:56:33,Door,PIR,Living
11/13/2012,17:57:01,11/13/2012,17:57:04,Door,PIR,Living
11/13/2012,17:58:47,11/13/2012,18:21:08,Seat,Pressure,Living
11/13/2012,18:22:35,11/13/2012,18:22:38,Door,PIR,Living
11/13/2012,18:24:40,11/13/2012,18:24:44,Door,PIR,Living
11/13/2012,18:25:27,11/13/2012,18:47:29,Seat,Pressure,Living
11/13/2012,18:48:38,11/13/2012,18:48:40,Door,PIR,Living
11/13/2012,18:51:51,11/13/2012,18:51:53,Door,PIR,Kitchen
11/13/2012,19:13:08,11/13/2012,19:13:19,Door,PIR,Kitchen
11/13/2012,19:13:28,11/13/2012,19:13:31,Door,PIR,Kitchen
11/13/2012,19:43:34,11/13/2012,19:43:38,Door,PIR,Kitchen
11/13/2012,19:44:16,11/13/2012,19:44:41,Door,PIR,Living
11/13/2012,19:45:01,11/13/2012,19:45:03,Door,PIR,Living
11/13/2012,19:46:30,11/13/2012,19:47:27,Toilet,Flush,Bathroom
11/13/2012,19:49:06,11/13/2012,19:49:08,Door,PIR,Bedroom
11/13/2012,19:50:10,11/13/2012,19:50:13,Door,PIR,Bedroom
11/13/2012,19:52:02,11/13/2012,19:52:03,Door,PIR,Living
11/13/2012,19:53:13,11/13/2012,22:57:44,Seat,Pressure,Living
11/13/2012,22:58:24,11/13/2012,22:58:28,Door,PIR,Living
11/13/2012,22:58:30,11/13/2012,22:58:34,Door,PIR,Bedroom
11/13/2012,22:59:42,11/13/2012,22:59:44,Door,PIR,Bedroom
11/13/2012,23:00:04,11/13/2012,23:00:08,Door,PIR,Living
11/13/2012,23:17:07,11/13/2012,23:17:10,Door,PIR,Living
11/13/2012,23:17:20,11/13/2012,23:17:25,Door,PIR,Kitchen
11/13/2012,23:17:56,11/13/2012,23:21:42,Microwave,Electric,Kitchen
11/13/2012,23:22:08,11/13/2012,23:22:10,Door,PIR,Kitchen
11/13/2012,23:22:21,11/13/2012,23:22:29,Door,PIR,Living
11/13/2012,23:34:29,11/13/2012,23:34:34,Door,PIR,Living
11/13/2012,23:34:42,11/13/2012,23:34:53,Door,PIR,Bedroom
11/13/2012,23:37:31,11/13/2012,23:37:33,Door,PIR,Bedroom
11/13/2012,23:39:32,11/13/2012,23:40:03,Basin,PIR,Bathroom
11/13/2012,23:40:52,11/13/2012,23:40:58,Door,PIR,Living
11/13/2012,23:44:10,11/13/2012,23:44:13,Door,PIR,Living
11/13/2012,23:44:27,11/13/2012,23:44:30,Door,PIR,Kitchen
11/13/2012,23:44:50,11/13/2012,23:44:52,Door,PIR,Kitchen
11/13/2012,23:45:05,11/13/2012,23:45:09,Door,PIR,Living
11/13/2012,23:46:01,11/14/2012,0:20:35,Seat,Pressure,Living
11/14/2012,0:21:07,11/14/2012,0:21:10,Door,PIR,Living
11/14/2012,0:27:20,11/14/2012,0:28:29,Basin,PIR,Bathroom
11/14/2012,0:28:44,11/14/2012,0:29:32,Toilet,Flush,Bathroom
11/14/2012,0:28:54,11/14/2012,0:28:59,Door,PIR,Bedroom
11/14/2012,0:29:41,11/14/2012,5:11:15,Bed,Pressure,Bedroom
11/14/2012,5:12:26,11/14/2012,5:12:29,Door,PIR,Bedroom
11/14/2012,5:15:19,11/14/2012,5:15:52,Basin,PIR,Bathroom
11/14/2012,5:15:55,11/14/2012,5:15:59,Door,PIR,Bedroom
11/14/2012,5:16:51,11/14/2012,9:00:14,Bed,Pressure,Bedroom
11/14/2012,9:01:22,11/14/2012,9:01:27,Door,PIR,Bedroom
11/14/2012,9:04:43,11/14/2012,9:05:43,Toilet,Flush,Bathroom
11/14/2012,9:04:54,11/14/2012,9:04:58,Door,PIR,Bedroom
11/14/2012,9:06:08,11/14/2012,9:06:10,Door,PIR,Bedroom
11/14/2012,9:06:26,11/14/2012,9:06:30,Door,PIR,Kitchen
11/14/2012,9:07:17,11/14/2012,9:07:35,Fridge,Magnetic,Kitchen
11/14/2012,9:07:47,11/14/2012,9:09:16,Microwave,Electric,Kitchen
11/14/2012,9:09:26,11/14/2012,9:09:41,Microwave,Electric,Kitchen
11/14/2012,9:17:48,11/14/2012,9:17:51,Door,PIR,Kitchen
11/14/2012,9:20:05,11/14/2012,9:20:09,Door,PIR,Living
11/14/2012,9:21:40,11/14/2012,9:21:43,Door,PIR,Living
11/14/2012,9:22:11,11/14/2012,9:22:16,Door,PIR,Bedroom
11/14/2012,9:22:21,11/14/2012,9:22:26,Door,PIR,Bedroom
11/14/2012,9:22:34,11/14/2012,9:22:37,Door,PIR,Living
11/14/2012,9:23:10,11/14/2012,10:36:48,Seat,Pressure,Living
11/14/2012,10:37:26,11/14/2012,10:37:29,Door,PIR,Living
11/14/2012,10:38:16,11/14/2012,10:38:19,Door,PIR,Kitchen
11/14/2012,10:39:50,11/14/2012,10:39:56,Fridge,Magnetic,Kitchen
11/14/2012,10:46:43,11/14/2012,10:46:57,Door,PIR,Kitchen
11/14/2012,10:54:22,11/14/2012,10:54:24,Door,PIR,Kitchen
11/14/2012,10:59:14,11/14/2012,10:59:16,Cupboard,Magnetic,Kitchen
11/14/2012,11:01:12,11/14/2012,11:01:15,Door,PIR,Kitchen
11/14/2012,11:02:31,11/14/2012,11:02:35,Door,PIR,Bedroom
11/14/2012,11:06:21,11/14/2012,11:06:23,Door,PIR,Bedroom
11/14/2012,11:07:27,11/14/2012,11:07:30,Door,PIR,Living
11/14/2012,11:08:26,11/14/2012,11:15:38,Seat,Pressure,Living
11/14/2012,11:16:45,11/14/2012,11:16:50,Door,PIR,Living
11/14/2012,11:18:49,11/14/2012,11:18:52,Door,PIR,Living
11/14/2012,11:19:36,11/14/2012,11:34:18,Seat,Pressure,Living
11/14/2012,11:35:43,11/14/2012,11:35:46,Door,PIR,Living
11/14/2012,11:36:05,11/14/2012,11:36:28,Door,PIR,Kitchen
11/14/2012,11:45:07,11/14/2012,11:45:10,Door,PIR,Kitchen
11/14/2012,11:47:39,11/14/2012,11:52:17,Basin,PIR,Bathroom
11/14/2012,11:56:03,11/14/2012,11:58:55,Shower,PIR,Bathroom
11/14/2012,12:00:16,11/14/2012,12:02:42,Basin,PIR,Bathroom
11/14/2012,12:07:50,11/14/2012,12:08:53,Basin,PIR,Bathroom
11/14/2012,12:10:42,11/14/2012,12:10:46,Door,PIR,Bedroom
11/14/2012,12:20:30,11/14/2012,12:20:34,Door,PIR,Bedroom
11/14/2012,12:21:31,11/14/2012,12:22:55,Basin,PIR,Bathroom
11/14/2012,12:29:00,11/14/2012,12:29:15,Door,PIR,Living
11/14/2012,12:42:07,11/14/2012,12:42:09,Door,PIR,Living
11/14/2012,12:42:11,11/14/2012,12:42:15,Door,PIR,Bedroom
11/14/2012,12:43:02,11/14/2012,12:43:16,Door,PIR,Bedroom
11/14/2012,12:45:03,11/14/2012,12:45:06,Door,PIR,Living
11/14/2012,12:46:54,11/14/2012,12:51:29,Seat,Pressure,Living
11/14/2012,12:52:09,11/14/2012,12:52:14,Door,PIR,Living
11/14/2012,12:52:19,11/14/2012,12:52:24,Maindoor,Magnetic,Entrance
11/14/2012,12:54:27,11/14/2012,12:54:35,Maindoor,Magnetic,Entrance
11/14/2012,12:54:07,11/14/2012,12:54:10,Door,PIR,Living
11/14/2012,12:54:30,11/14/2012,12:54:33,Door,PIR,Living
11/14/2012,12:54:41,11/14/2012,12:54:45,Door,PIR,Kitchen
11/14/2012,12:55:24,11/14/2012,12:55:27,Door,PIR,Kitchen
11/14/2012,12:55:38,11/14/2012,12:55:42,Door,PIR,Living
11/14/2012,12:55:54,11/14/2012,12:55:57,Door,PIR,Living
11/14/2012,12:57:50,11/14/2012,12:57:57,Maindoor,Magnetic,Entrance
11/14/2012,14:22:31,11/14/2012,14:22:37,Maindoor,Magnetic,Entrance
11/14/2012,14:23:11,11/14/2012,14:24:01,Toilet,Flush,Bathroom
11/14/2012,14:23:22,11/14/2012,14:24:13,Basin,PIR,Bathroom
11/14/2012,14:24:14,11/14/2012,14:24:28,Door,PIR,Living
11/14/2012,14:26:49,11/14/2012,14:26:55,Door,PIR,Living
11/14/2012,14:27:13,11/14/2012,14:27:17,Door,PIR,Bedroom
11/14/2012,14:28:21,11/14/2012,14:28:25,Door,PIR,Bedroom
11/14/2012,14:29:39,11/14/2012,14:29:46,Maindoor,Magnetic,Entrance
11/14/2012,15:49:38,11/14/2012,15:49:44,Maindoor,Magnetic,Entrance
11/14/2012,15:50:07,11/14/2012,15:50:10,Door,PIR,Living
11/14/2012,15:54:53,11/14/2012,15:54:56,Door,PIR,Living
11/14/2012,15:58:45,11/14/2012,15:58:49,Door,PIR,Living
11/14/2012,15:59:11,11/14/2012,19:47:55,Seat,Pressure,Living
11/14/2012,19:48:53,11/14/2012,19:48:59,Door,PIR,Living
11/14/2012,19:53:47,11/14/2012,19:53:51,Door,PIR,Living
11/14/2012,19:54:55,11/14/2012,19:54:58,Door,PIR,Living
11/14/2012,19:55:49,11/14/2012,19:55:53,Door,PIR,Bedroom
11/14/2012,19:56:17,11/14/2012,19:56:19,Door,PIR,Bedroom
11/14/2012,20:00:43,11/14/2012,20:00:46,Door,PIR,Living
11/14/2012,20:02:09,11/14/2012,20:02:12,Door,PIR,Living
11/14/2012,20:02:21,11/14/2012,20:02:24,Door,PIR,Kitchen
11/14/2012,20:10:02,11/14/2012,20:10:06,Door,PIR,Kitchen
11/14/2012,20:11:38,11/14/2012,20:11:41,Door,PIR,Living
11/14/2012,20:12:58,11/14/2012,21:04:49,Seat,Pressure,Living
11/14/2012,21:05:06,11/14/2012,21:05:08,Door,PIR,Living
11/14/2012,21:06:26,11/14/2012,21:06:29,Door,PIR,Living
11/14/2012,21:37:09,11/14/2012,21:37:13,Door,PIR,Living
11/14/2012,21:37:21,11/14/2012,21:37:26,Door,PIR,Kitchen
11/14/2012,21:40:22,11/14/2012,21:42:22,Microwave,Electric,Kitchen
