"Start","End","Location","Place"
2018-02-11 11:06:11,2018-02-11 11:06:34,"Fridge","Kitchen"
2018-02-11 11:09:44,2018-02-11 11:10:42,"Microwave","Kitchen"
2018-02-11 11:20:40,2018-02-11 11:20:45,"Door","Kitchen"
2018-02-11 11:21:26,2018-02-11 11:21:30,"Door","Living"
2018-02-11 11:23:34,2018-02-11 11:23:37,"Door","Living"
2018-02-11 11:24:12,2018-02-11 11:24:17,"Door","Bedroom"
2018-02-11 11:32:27,2018-02-11 11:32:29,"Door","Bedroom"
2018-02-11 11:32:39,2018-02-11 11:32:41,"Door","Kitchen"
2018-02-11 11:33:15,2018-02-11 11:33:17,"Door","Kitchen"
2018-02-11 11:34:08,2018-02-11 11:34:10,"Door","Bedroom"
2018-02-11 11:34:45,2018-02-11 11:34:52,"Door","Bedroom"
2018-02-11 11:37:49,2018-02-11 11:37:52,"Door","Kitchen"
2018-02-11 11:38:27,2018-02-11 11:40:06,"Fridge","Kitchen"
2018-02-11 11:43:52,2018-02-11 11:43:55,"Fridge","Kitchen"
2018-02-11 11:47:09,2018-02-11 11:47:23,"Door","Kitchen"
2018-02-11 11:47:38,2018-02-11 11:47:48,"Door","Living"
2018-02-11 12:01:50,2018-02-11 12:01:52,"Door","Living"
2018-02-11 12:02:07,2018-02-11 12:02:09,"Door","Bedroom"
2018-02-11 12:22:23,2018-02-11 12:22:30,"Door","Bedroom"
2018-02-11 12:23:33,2018-02-11 12:23:48,"Door","Kitchen"
2018-02-11 12:37:00,2018-02-11 12:37:03,"Door","Kitchen"
2018-02-11 12:39:35,2018-02-11 12:39:42,"Door","Bedroom"
2018-02-11 12:41:44,2018-02-11 12:41:46,"Door","Bedroom"
2018-02-11 12:41:59,2018-02-11 12:42:39,"Toilet","Bathroom"
2018-02-11 12:43:41,2018-02-11 12:43:43,"Door","Bedroom"
2018-02-11 12:49:21,2018-02-11 12:49:23,"Door","Bedroom"
2018-02-11 12:49:42,2018-02-11 12:49:46,"Door","Living"
2018-02-11 12:51:01,2018-02-11 12:51:04,"Door","Living"
2018-02-11 12:52:58,2018-02-11 12:55:12,"Toilet","Bathroom"
2018-02-11 13:00:02,2018-02-11 13:07:11,"Basin","Bathroom"
2018-02-11 13:12:47,2018-02-11 13:18:24,"Basin","Bathroom"
2018-02-11 13:19:01,2018-02-11 13:19:52,"Door","Living"
2018-02-11 13:32:42,2018-02-11 13:32:46,"Door","Living"
2018-02-11 13:33:11,2018-02-11 13:33:15,"Door","Kitchen"
2018-02-11 13:44:23,2018-02-11 13:44:27,"Door","Kitchen"
2018-02-11 13:47:49,2018-02-11 13:47:51,"Door","Kitchen"
2018-02-11 13:52:31,2018-02-11 13:55:39,"Fridge","Kitchen"
2018-02-11 14:00:02,2018-02-11 14:00:05,"Door","Kitchen"
2018-02-11 14:04:47,2018-02-11 14:04:50,"Door","Living"
2018-02-11 14:20:16,2018-02-11 14:20:18,"Door","Living"
2018-02-11 14:20:28,2018-02-11 14:20:31,"Door","Kitchen"
2018-02-11 14:39:01,2018-02-11 14:39:08,"Cupboard","Kitchen"
2018-02-11 14:39:15,2018-02-11 14:39:21,"Cupboard","Kitchen"
2018-02-11 14:48:44,2018-02-11 14:48:47,"Door","Kitchen"
2018-02-11 14:48:54,2018-02-11 14:48:57,"Door","Living"
2018-02-11 14:49:15,2018-02-11 14:49:18,"Door","Living"
2018-02-11 14:49:30,2018-02-11 14:49:33,"Door","Kitchen"
2018-02-11 14:51:33,2018-02-11 14:51:40,"Cupboard","Kitchen"
2018-02-11 14:53:12,2018-02-11 14:53:14,"Door","Kitchen"
2018-02-11 14:54:45,2018-02-11 14:54:47,"Door","Living"
2018-02-11 15:22:47,2018-02-11 15:22:50,"Door","Living"
2018-02-11 15:23:00,2018-02-11 15:23:02,"Door","Kitchen"
2018-02-11 15:23:38,2018-02-11 15:23:50,"Cupboard","Kitchen"
2018-02-11 15:31:49,2018-02-11 15:31:53,"Door","Kitchen"
2018-02-11 15:38:50,2018-02-11 15:39:48,"Toilet","Bathroom"
2018-02-11 15:39:05,2018-02-11 15:40:39,"Basin","Bathroom"
2018-02-11 15:42:55,2018-02-11 15:42:58,"Door","Living"
2018-02-11 15:43:15,2018-02-11 16:10:35,"Seat","Living"
2018-02-11 16:11:28,2018-02-11 16:11:34,"Door","Living"
2018-02-11 16:22:22,2018-02-11 16:22:29,"Maindoor","Entrance"
2018-02-11 17:08:34,2018-02-11 17:08:37,"Maindoor","Entrance"
2018-02-11 17:10:11,2018-02-11 17:10:14,"Door","Living"
2018-02-11 17:29:17,2018-02-11 17:29:21,"Door","Living"
2018-02-11 17:29:30,2018-02-11 17:29:33,"Door","Kitchen"
2018-02-11 17:29:50,2018-02-11 17:29:52,"Door","Kitchen"
2018-02-11 17:30:08,2018-02-11 17:30:16,"Door","Living"
2018-02-11 17:35:38,2018-02-11 17:35:42,"Door","Living"
2018-02-11 17:43:33,2018-02-11 17:44:31,"Toilet","Bathroom"
2018-02-11 17:43:55,2018-02-11 17:44:07,"Basin","Bathroom"
2018-02-11 17:44:37,2018-02-11 17:44:40,"Door","Living"
2018-02-11 17:45:22,2018-02-11 18:46:58,"Seat","Living"
2018-02-11 18:47:29,2018-02-11 18:47:32,"Door","Living"
2018-02-11 18:47:45,2018-02-11 18:47:49,"Door","Kitchen"
2018-02-11 18:52:17,2018-02-11 18:52:33,"Fridge","Kitchen"
2018-02-11 18:52:42,2018-02-11 18:53:43,"Microwave","Kitchen"
2018-02-11 18:56:12,2018-02-11 18:56:15,"Door","Kitchen"
2018-02-11 19:00:51,2018-02-11 19:00:56,"Door","Bedroom"
2018-02-11 19:02:07,2018-02-11 19:02:10,"Door","Bedroom"
2018-02-11 19:02:15,2018-02-11 19:02:19,"Door","Living"
2018-02-11 19:03:07,2018-02-11 20:56:46,"Seat","Living"
2018-02-11 20:57:05,2018-02-11 20:57:07,"Door","Living"
2018-02-11 20:57:11,2018-02-11 20:57:23,"Door","Bedroom"
2018-02-11 20:59:39,2018-02-11 20:59:42,"Door","Bedroom"
2018-02-11 21:06:32,2018-02-11 21:06:35,"Door","Living"
2018-02-11 21:11:39,2018-02-11 21:11:58,"Door","Living"
2018-02-11 21:14:56,2018-02-11 21:15:03,"Basin","Bathroom"
2018-02-11 21:15:13,2018-02-11 21:15:17,"Door","Living"
2018-02-11 22:34:24,2018-02-11 22:34:27,"Door","Living"
2018-02-11 22:34:27,2018-02-11 22:34:30,"Door","Bedroom"
2018-02-11 22:34:46,2018-02-11 22:34:48,"Door","Bedroom"
2018-02-11 22:35:21,2018-02-11 22:35:25,"Door","Kitchen"
2018-02-11 22:36:23,2018-02-11 22:36:58,"Cupboard","Kitchen"
2018-02-11 22:37:52,2018-02-11 22:37:55,"Door","Kitchen"
2018-02-11 22:53:46,2018-02-11 22:53:54,"Basin","Bathroom"
2018-02-11 22:54:10,2018-02-11 22:54:14,"Door","Living"
2018-02-11 22:55:02,2018-02-11 23:33:45,"Seat","Living"
2018-02-11 23:34:27,2018-02-11 23:34:30,"Door","Living"
2018-02-11 23:34:40,2018-02-11 23:34:43,"Door","Bedroom"
2018-02-11 23:36:45,2018-02-11 23:36:47,"Door","Bedroom"
2018-02-11 23:36:51,2018-02-11 23:37:59,"Toilet","Bathroom"
2018-02-11 23:38:15,2018-02-11 23:38:19,"Door","Living"
2018-02-11 23:45:05,2018-02-11 23:45:08,"Door","Living"
2018-02-11 23:45:08,2018-02-11 23:45:11,"Door","Kitchen"
2018-02-11 23:45:53,2018-02-11 23:45:55,"Door","Kitchen"
2018-02-11 23:46:23,2018-02-11 23:46:26,"Door","Living"
2018-02-11 23:47:02,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Basin","Bathroom"
NA,NA,"Shower","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Shower","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Shower","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Cupboard","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Basin","Bathroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Bed","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Fridge","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Shower","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Maindoor","Entrance"
NA,NA,"Maindoor","Entrance"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Toilet","Bathroom"
NA,NA,"Basin","Bathroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Bedroom"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Seat","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
NA,NA,"Door","Living"
NA,NA,"Door","Living"
NA,NA,"Door","Kitchen"
NA,NA,"Microwave","Kitchen"
NA,NA,"Door","Kitchen"
