"Location","Type","Place","Duration","Day","obj"
"Basin","PIR","Bathroom",1.917,"Tue","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.1,"Tue","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.05,"Tue","Entrance Maindoor"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.05,"Tue","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Tue","Kitchen Door"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.05,"Tue","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.067,"Tue","Entrance Maindoor"
"Door","PIR","Kitchen",0.067,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Bedroom",0.017,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Tue","Bedroom Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.083,"Tue","Kitchen Fridge"
"Fridge","Magnetic","Kitchen",0.05,"Tue","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.167,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Toilet","Flush","Bathroom",0.75,"Tue","Bathroom Toilet"
"Door","PIR","Kitchen",0.067,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.033,"Tue","Kitchen Cupboard"
"Fridge","Magnetic","Kitchen",0.067,"Tue","Kitchen Fridge"
"Cupboard","Magnetic","Kitchen",0.05,"Tue","Kitchen Cupboard"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Living",0.033,"Tue","Living Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Living",0.033,"Tue","Living Door"
"Seat","Pressure","Living",66.483,"Tue","Living Seat"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Living",0.033,"Tue","Living Door"
"Toilet","Flush","Bathroom",0.9,"Tue","Bathroom Toilet"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Door","PIR","Living",0.067,"Tue","Living Door"
"Seat","Pressure","Living",54.033,"Tue","Living Seat"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Tue","Bedroom Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Living",0.067,"Tue","Living Door"
"Seat","Pressure","Living",16.717,"Tue","Living Seat"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Seat","Pressure","Living",22.35,"Tue","Living Seat"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Living",0.067,"Tue","Living Door"
"Seat","Pressure","Living",22.033,"Tue","Living Seat"
"Door","PIR","Living",0.033,"Tue","Living Door"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.183,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Tue","Kitchen Door"
"Door","PIR","Living",0.417,"Tue","Living Door"
"Door","PIR","Living",0.033,"Tue","Living Door"
"Toilet","Flush","Bathroom",0.95,"Tue","Bathroom Toilet"
"Door","PIR","Bedroom",0.033,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Tue","Bedroom Door"
"Door","PIR","Living",0.017,"Tue","Living Door"
"Seat","Pressure","Living",184.517,"Tue","Living Seat"
"Door","PIR","Living",0.067,"Tue","Living Door"
"Door","PIR","Bedroom",0.067,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Tue","Bedroom Door"
"Door","PIR","Living",0.067,"Tue","Living Door"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Kitchen",0.083,"Tue","Kitchen Door"
"Microwave","Electric","Kitchen",3.767,"Tue","Kitchen Microwave"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Living",0.133,"Tue","Living Door"
"Door","PIR","Living",0.083,"Tue","Living Door"
"Door","PIR","Bedroom",0.183,"Tue","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Tue","Bedroom Door"
"Basin","PIR","Bathroom",0.517,"Tue","Bathroom Basin"
"Door","PIR","Living",0.1,"Tue","Living Door"
"Door","PIR","Living",0.05,"Tue","Living Door"
"Door","PIR","Kitchen",0.05,"Tue","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Tue","Kitchen Door"
"Door","PIR","Living",0.067,"Tue","Living Door"
"Seat","Pressure","Living",34.567,"Tue","Living Seat"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Basin","PIR","Bathroom",1.15,"Wed","Bathroom Basin"
"Toilet","Flush","Bathroom",0.8,"Wed","Bathroom Toilet"
"Door","PIR","Bedroom",0.083,"Wed","Bedroom Door"
"Bed","Pressure","Bedroom",281.567,"Wed","Bedroom Bed"
"Door","PIR","Bedroom",0.05,"Wed","Bedroom Door"
"Basin","PIR","Bathroom",0.55,"Wed","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Bed","Pressure","Bedroom",223.383,"Wed","Bedroom Bed"
"Door","PIR","Bedroom",0.083,"Wed","Bedroom Door"
"Toilet","Flush","Bathroom",1,"Wed","Bathroom Toilet"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Wed","Bedroom Door"
"Door","PIR","Kitchen",0.067,"Wed","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.3,"Wed","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.483,"Wed","Kitchen Microwave"
"Microwave","Electric","Kitchen",0.25,"Wed","Kitchen Microwave"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Door","PIR","Living",0.067,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Bedroom",0.083,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.083,"Wed","Bedroom Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Seat","Pressure","Living",73.633,"Wed","Living Seat"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.1,"Wed","Kitchen Fridge"
"Door","PIR","Kitchen",0.233,"Wed","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Wed","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.033,"Wed","Kitchen Cupboard"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Wed","Bedroom Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Seat","Pressure","Living",7.2,"Wed","Living Seat"
"Door","PIR","Living",0.083,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Seat","Pressure","Living",14.7,"Wed","Living Seat"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Kitchen",0.383,"Wed","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Basin","PIR","Bathroom",4.633,"Wed","Bathroom Basin"
"Shower","PIR","Bathroom",2.867,"Wed","Bathroom Shower"
"Basin","PIR","Bathroom",2.433,"Wed","Bathroom Basin"
"Basin","PIR","Bathroom",1.05,"Wed","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Basin","PIR","Bathroom",1.4,"Wed","Bathroom Basin"
"Door","PIR","Living",0.25,"Wed","Living Door"
"Door","PIR","Living",0.033,"Wed","Living Door"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.233,"Wed","Bedroom Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Seat","Pressure","Living",4.583,"Wed","Living Seat"
"Door","PIR","Living",0.083,"Wed","Living Door"
"Maindoor","Magnetic","Entrance",0.083,"Wed","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.133,"Wed","Entrance Maindoor"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Kitchen",0.067,"Wed","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Door","PIR","Living",0.067,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Maindoor","Magnetic","Entrance",0.117,"Wed","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.1,"Wed","Entrance Maindoor"
"Toilet","Flush","Bathroom",0.833,"Wed","Bathroom Toilet"
"Basin","PIR","Bathroom",0.85,"Wed","Bathroom Basin"
"Door","PIR","Living",0.233,"Wed","Living Door"
"Door","PIR","Living",0.1,"Wed","Living Door"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.117,"Wed","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.1,"Wed","Entrance Maindoor"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Living",0.067,"Wed","Living Door"
"Seat","Pressure","Living",228.733,"Wed","Living Seat"
"Door","PIR","Living",0.1,"Wed","Living Door"
"Door","PIR","Living",0.067,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Bedroom",0.067,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.033,"Wed","Bedroom Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Door","PIR","Kitchen",0.067,"Wed","Kitchen Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Seat","Pressure","Living",51.85,"Wed","Living Seat"
"Door","PIR","Living",0.033,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Living",0.067,"Wed","Living Door"
"Door","PIR","Kitchen",0.083,"Wed","Kitchen Door"
"Microwave","Electric","Kitchen",2,"Wed","Kitchen Microwave"
"Cupboard","Magnetic","Kitchen",0.1,"Wed","Kitchen Cupboard"
"Door","PIR","Kitchen",0.033,"Wed","Kitchen Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Kitchen",0.033,"Wed","Kitchen Door"
"Microwave","Electric","Kitchen",0.183,"Wed","Kitchen Microwave"
"Fridge","Magnetic","Kitchen",0.1,"Wed","Kitchen Fridge"
"Fridge","Magnetic","Kitchen",0.05,"Wed","Kitchen Fridge"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Seat","Pressure","Living",25.367,"Wed","Living Seat"
"Door","PIR","Living",0.05,"Wed","Living Door"
"Door","PIR","Kitchen",0.067,"Wed","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.3,"Wed","Kitchen Fridge"
"Door","PIR","Kitchen",0.033,"Wed","Kitchen Door"
"Door","PIR","Living",0.067,"Wed","Living Door"
"Seat","Pressure","Living",45.85,"Wed","Living Seat"
"Door","PIR","Living",0.033,"Wed","Living Door"
"Door","PIR","Bedroom",0.05,"Wed","Bedroom Door"
"Door","PIR","Bedroom",0.1,"Wed","Bedroom Door"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Wed","Kitchen Door"
"Door","PIR","Living",0.067,"Wed","Living Door"
"Seat","Pressure","Living",52.067,"Wed","Living Seat"
"Door","PIR","Living",0.1,"Thu","Living Door"
"Basin","PIR","Bathroom",0.133,"Thu","Bathroom Basin"
"Toilet","Flush","Bathroom",0.8,"Thu","Bathroom Toilet"
"Basin","PIR","Bathroom",0.467,"Thu","Bathroom Basin"
"Door","PIR","Bedroom",0.083,"Thu","Bedroom Door"
"Bed","Pressure","Bedroom",28.067,"Thu","Bedroom Bed"
"Door","PIR","Bedroom",0.067,"Thu","Bedroom Door"
"Door","PIR","Bedroom",0.1,"Thu","Bedroom Door"
"Bed","Pressure","Bedroom",2.033,"Thu","Bedroom Bed"
"Door","PIR","Bedroom",0.05,"Thu","Bedroom Door"
"Door","PIR","Living",0.15,"Thu","Living Door"
"Seat","Pressure","Living",70.183,"Thu","Living Seat"
"Door","PIR","Living",0.117,"Thu","Living Door"
"Door","PIR","Bedroom",0.033,"Thu","Bedroom Door"
"Bed","Pressure","Bedroom",349.05,"Thu","Bedroom Bed"
"Door","PIR","Bedroom",0.05,"Thu","Bedroom Door"
"Toilet","Flush","Bathroom",0.683,"Thu","Bathroom Toilet"
"Door","PIR","Bedroom",0.05,"Thu","Bedroom Door"
"Bed","Pressure","Bedroom",99.6,"Thu","Bedroom Bed"
"Door","PIR","Bedroom",0.083,"Thu","Bedroom Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Kitchen",0.067,"Thu","Kitchen Door"
"Fridge","Magnetic","Kitchen",0.3,"Thu","Kitchen Fridge"
"Microwave","Electric","Kitchen",1.6,"Thu","Kitchen Microwave"
"Door","PIR","Kitchen",0.067,"Thu","Kitchen Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Toilet","Flush","Bathroom",1.25,"Thu","Bathroom Toilet"
"Basin","PIR","Bathroom",0.083,"Thu","Bathroom Basin"
"Door","PIR","Bedroom",0.05,"Thu","Bedroom Door"
"Door","PIR","Bedroom",0.05,"Thu","Bedroom Door"
"Basin","PIR","Bathroom",3.083,"Thu","Bathroom Basin"
"Shower","PIR","Bathroom",6.583,"Thu","Bathroom Shower"
"Basin","PIR","Bathroom",1.967,"Thu","Bathroom Basin"
"Door","PIR","Bedroom",0.067,"Thu","Bedroom Door"
"Door","PIR","Bedroom",0.017,"Thu","Bedroom Door"
"Door","PIR","Kitchen",0.1,"Thu","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Door","PIR","Bedroom",0.067,"Thu","Bedroom Door"
"Door","PIR","Bedroom",0.067,"Thu","Bedroom Door"
"Door","PIR","Living",0.067,"Thu","Living Door"
"Seat","Pressure","Living",53.15,"Thu","Living Seat"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Bedroom",0.067,"Thu","Bedroom Door"
"Door","PIR","Bedroom",0.333,"Thu","Bedroom Door"
"Maindoor","Magnetic","Entrance",0.383,"Thu","Entrance Maindoor"
"Maindoor","Magnetic","Entrance",0.133,"Thu","Entrance Maindoor"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Thu","Kitchen Door"
"Door","PIR","Living",0.033,"Thu","Living Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Kitchen",0.05,"Thu","Kitchen Door"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Seat","Pressure","Living",70.567,"Thu","Living Seat"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Kitchen",0.083,"Thu","Kitchen Door"
"Door","PIR","Kitchen",0.05,"Thu","Kitchen Door"
"Door","PIR","Living",0.05,"Thu","Living Door"
"Door","PIR","Living",0.067,"Thu","Living Door"
"Door","PIR","Kitchen",0.033,"Thu","Kitchen Door"
"Cupboard","Magnetic","Kitchen",0.05,"Thu","Kitchen Cupboard"
"Door","PIR","Kitchen",0.067,"Thu","Kitchen Door"
